,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
135,"Thu, Dec 18, 2014",10:00p,Milwaukee Bucks,108,Sacramento Kings,107,Box Score,,15645,
136,"Thu, Dec 18, 2014",10:30p,Oklahoma City Thunder,109,Golden State Warriors,114,Box Score,,19596,
137,"Fri, Dec 19, 2014",7:00p,Utah Jazz,101,Orlando Magic,94,Box Score,,16032,
138,"Fri, Dec 19, 2014",7:00p,Charlotte Hornets,109,Philadelphia 76ers,91,Box Score,,13398,
139,"Fri, Dec 19, 2014",7:30p,Minnesota Timberwolves,98,Boston Celtics,114,Box Score,,17042,
140,"Fri, Dec 19, 2014",7:30p,Brooklyn Nets,91,Cleveland Cavaliers,95,Box Score,,20562,
141,"Fri, Dec 19, 2014",7:30p,Toronto Raptors,110,Detroit Pistons,100,Box Score,,16274,
142,"Fri, Dec 19, 2014",7:30p,Washington Wizards,105,Miami Heat,103,Box Score,,19600,
143,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
144,"Fri, Dec 19, 2014",8:00p,Chicago Bulls,103,Memphis Grizzlies,97,Box Score,,18119,
145,"Fri, Dec 19, 2014",8:00p,Portland Trail Blazers,129,San Antonio Spurs,119,Box Score,3OT,18581,
146,"Fri, Dec 19, 2014",9:00p,Los Angeles Clippers,106,Denver Nuggets,109,Box Score,,15030,
147,"Fri, Dec 19, 2014",10:30p,Oklahoma City Thunder,104,Los Angeles Lakers,103,Box Score,,18997,
148,"Sat, Dec 20, 2014",1:00p,Phoenix Suns,99,New York Knicks,90,Box Score,,19812,
149,"Sat, Dec 20, 2014",7:00p,Utah Jazz,86,Charlotte Hornets,104,Box Score,,17384,
150,"Sat, Dec 20, 2014",7:00p,Portland Trail Blazers,114,New Orleans Pelicans,88,Box Score,,16079,
151,"Sat, Dec 20, 2014",8:00p,Atlanta Hawks,104,Houston Rockets,97,Box Score,,16998,
152,"Sat, Dec 20, 2014",8:30p,San Antonio Spurs,93,Dallas Mavericks,99,Box Score,,20504,
153,"Sat, Dec 20, 2014",9:00p,Indiana Pacers,73,Denver Nuggets,76,Box Score,,14125,
154,"Sat, Dec 20, 2014",10:30p,Milwaukee Bucks,102,Los Angeles Clippers,106,Box Score,,19060,
155,"Sun, Dec 21, 2014",3:30p,New York Knicks,108,Toronto Raptors,118,Box Score,,19800,
156,"Sun, Dec 21, 2014",4:30p,Memphis Grizzlies,91,Cleveland Cavaliers,105,Box Score,,20562,
157,"Sun, Dec 21, 2014",6:00p,Detroit Pistons,105,Brooklyn Nets,110,Box Score,,17732,
158,"Sun, Dec 21, 2014",6:00p,Boston Celtics,84,Miami Heat,100,Box Score,,19720,
159,"Sun, Dec 21, 2014",6:00p,Philadelphia 76ers,96,Orlando Magic,88,Box Score,,15682,
160,"Sun, Dec 21, 2014",6:00p,Los Angeles Lakers,101,Sacramento Kings,108,Box Score,,17317,
161,"Sun, Dec 21, 2014",6:00p,Phoenix Suns,104,Washington Wizards,92,Box Score,,18207,
162,"Sun, Dec 21, 2014",7:00p,Indiana Pacers,100,Minnesota Timberwolves,96,Box Score,,12687,
163,"Sun, Dec 21, 2014",7:00p,New Orleans Pelicans,101,Oklahoma City Thunder,99,Box Score,,18203,
164,"Mon, Dec 22, 2014",7:00p,Denver Nuggets,82,Charlotte Hornets,110,Box Score,,16913,
165,"Mon, Dec 22, 2014",8:00p,Toronto Raptors,120,Chicago Bulls,129,Box Score,,21846,
166,"Mon, Dec 22, 2014",8:00p,Portland Trail Blazers,95,Houston Rockets,110,Box Score,,18316,
167,"Mon, Dec 22, 2014",8:00p,Utah Jazz,97,Memphis Grizzlies,91,Box Score,,16991,
168,"Mon, Dec 22, 2014",8:30p,Atlanta Hawks,105,Dallas Mavericks,102,Box Score,,20339,
169,"Mon, Dec 22, 2014",8:30p,Los Angeles Clippers,118,San Antonio Spurs,125,Box Score,,18581,
170,"Mon, Dec 22, 2014",10:30p,Sacramento Kings,108,Golden State Warriors,128,Box Score,,19596,
171,"Tue, Dec 23, 2014",7:00p,Minnesota Timberwolves,104,Cleveland Cavaliers,125,Box Score,,20562,
172,"Tue, Dec 23, 2014",7:00p,New Orleans Pelicans,84,Indiana Pacers,96,Box Score,,17336,
173,"Tue, Dec 23, 2014",7:00p,Boston Celtics,95,Orlando Magic,100,Box Score,,17489,
174,"Tue, Dec 23, 2014",7:00p,Chicago Bulls,99,Washington Wizards,91,Box Score,,20356,
175,"Tue, Dec 23, 2014",7:30p,Los Angeles Clippers,104,Atlanta Hawks,107,Box Score,,19191,
176,"Tue, Dec 23, 2014",7:30p,Denver Nuggets,96,Brooklyn Nets,102,Box Score,,17080,
177,"Tue, Dec 23, 2014",7:30p,Philadelphia 76ers,91,Miami Heat,87,Box Score,,19600,
178,"Tue, Dec 23, 2014",8:00p,Charlotte Hornets,108,Milwaukee Bucks,101,Box Score,,14653,
179,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
