,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Tue, Oct 25, 2016",7:30p,New York Knicks,88,Cleveland Cavaliers,117,Box Score,,20562,
1,"Tue, Oct 25, 2016",10:00p,Utah Jazz,104,Portland Trail Blazers,113,Box Score,,19446,
2,"Tue, Oct 25, 2016",10:30p,San Antonio Spurs,129,Golden State Warriors,100,Box Score,,19596,
3,"Wed, Oct 26, 2016",7:00p,Dallas Mavericks,121,Indiana Pacers,130,Box Score,OT,17923,
4,"Wed, Oct 26, 2016",7:00p,Miami Heat,108,Orlando Magic,96,Box Score,,19298,
5,"Wed, Oct 26, 2016",7:30p,Detroit Pistons,91,Toronto Raptors,109,Box Score,,19800,
6,"Wed, Oct 26, 2016",7:30p,Brooklyn Nets,117,Boston Celtics,122,Box Score,,18624,
7,"Wed, Oct 26, 2016",8:00p,Charlotte Hornets,107,Milwaukee Bucks,96,Box Score,,18717,
8,"Wed, Oct 26, 2016",8:00p,Denver Nuggets,107,New Orleans Pelicans,102,Box Score,,15869,
9,"Wed, Oct 26, 2016",8:00p,Minnesota Timberwolves,98,Memphis Grizzlies,102,Box Score,,18119,
10,"Wed, Oct 26, 2016",8:00p,Oklahoma City Thunder,103,Philadelphia 76ers,97,Box Score,,20487,
11,"Wed, Oct 26, 2016",10:00p,Sacramento Kings,113,Phoenix Suns,94,Box Score,,18055,
12,"Wed, Oct 26, 2016",10:30p,Houston Rockets,114,Los Angeles Lakers,120,Box Score,,18997,
13,"Thu, Oct 27, 2016",7:30p,Washington Wizards,99,Atlanta Hawks,114,Box Score,,19049,
14,"Thu, Oct 27, 2016",8:00p,Boston Celtics,99,Chicago Bulls,105,Box Score,,21501,
15,"Thu, Oct 27, 2016",10:30p,Los Angeles Clippers,114,Portland Trail Blazers,106,Box Score,,19500,
16,"Thu, Oct 27, 2016",10:30p,San Antonio Spurs,102,Sacramento Kings,94,Box Score,,17608,
17,"Fri, Oct 28, 2016",7:00p,Cleveland Cavaliers,94,Toronto Raptors,91,Box Score,,19800,
18,"Fri, Oct 28, 2016",7:30p,Indiana Pacers,94,Brooklyn Nets,103,Box Score,,17732,
19,"Fri, Oct 28, 2016",7:30p,Orlando Magic,82,Detroit Pistons,108,Box Score,,19122,
20,"Fri, Oct 28, 2016",8:00p,Phoenix Suns,110,Oklahoma City Thunder,113,Box Score,OT,18203,
21,"Fri, Oct 28, 2016",8:00p,Charlotte Hornets,97,Miami Heat,91,Box Score,,19600,
22,"Fri, Oct 28, 2016",8:30p,Houston Rockets,106,Dallas Mavericks,98,Box Score,,20163,
23,"Fri, Oct 28, 2016",9:00p,Los Angeles Lakers,89,Utah Jazz,96,Box Score,,19911,
24,"Fri, Oct 28, 2016",9:30p,Golden State Warriors,122,New Orleans Pelicans,114,Box Score,,18217,
25,"Sat, Oct 29, 2016",12:30p,Atlanta Hawks,104,Philadelphia 76ers,72,Box Score,,16312,
26,"Sat, Oct 29, 2016",7:00p,Boston Celtics,104,Charlotte Hornets,98,Box Score,,18708,
27,"Sat, Oct 29, 2016",7:30p,Orlando Magic,99,Cleveland Cavaliers,105,Box Score,,20562,
28,"Sat, Oct 29, 2016",7:30p,Memphis Grizzlies,104,New York Knicks,111,Box Score,,19812,
29,"Sat, Oct 29, 2016",8:00p,New Orleans Pelicans,79,San Antonio Spurs,98,Box Score,,18418,
30,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
31,"Sat, Oct 29, 2016",8:00p,Brooklyn Nets,108,Milwaukee Bucks,110,Box Score,,12570,
32,"Sat, Oct 29, 2016",8:00p,Indiana Pacers,101,Chicago Bulls,118,Box Score,,21373,
33,"Sat, Oct 29, 2016",9:00p,Portland Trail Blazers,115,Denver Nuggets,113,Box Score,OT,18055,
34,"Sat, Oct 29, 2016",10:30p,Minnesota Timberwolves,103,Sacramento Kings,106,Box Score,,17608,
35,"Sun, Oct 30, 2016",4:30p,Utah Jazz,75,Los Angeles Clippers,88,Box Score,,19060,
36,"Sun, Oct 30, 2016",6:00p,Milwaukee Bucks,83,Detroit Pistons,98,Box Score,,15161,
37,"Sun, Oct 30, 2016",6:00p,San Antonio Spurs,106,Miami Heat,99,Box Score,,19678,
38,"Sun, Oct 30, 2016",6:00p,Golden State Warriors,106,Phoenix Suns,100,Box Score,,17011,
39,"Sun, Oct 30, 2016",7:00p,Los Angeles Lakers,96,Oklahoma City Thunder,113,Box Score,,18203,
40,"Sun, Oct 30, 2016",8:00p,Dallas Mavericks,92,Houston Rockets,93,Box Score,,18055,
41,"Sun, Oct 30, 2016",8:00p,Washington Wizards,103,Memphis Grizzlies,112,Box Score,OT,15573,
42,"Mon, Oct 31, 2016",7:30p,Sacramento Kings,95,Atlanta Hawks,106,Box Score,,12501,
43,"Mon, Oct 31, 2016",7:30p,Chicago Bulls,118,Brooklyn Nets,88,Box Score,,15842,
44,"Mon, Oct 31, 2016",7:30p,Denver Nuggets,102,Toronto Raptors,105,Box Score,,19800,
45,"Mon, Oct 31, 2016",10:30p,Phoenix Suns,98,Los Angeles Clippers,116,Box Score,,19060,
0,"Tue, Nov 1, 2016",6:00p,Houston Rockets,120,Cleveland Cavaliers,128,Box Score,,20562,
1,"Tue, Nov 1, 2016",7:00p,Los Angeles Lakers,108,Indiana Pacers,115,Box Score,,15348,
2,"Tue, Nov 1, 2016",7:00p,Orlando Magic,103,Philadelphia 76ers,101,Box Score,,12529,
3,"Tue, Nov 1, 2016",7:30p,New York Knicks,89,Detroit Pistons,102,Box Score,,13087,
4,"Tue, Nov 1, 2016",7:30p,Sacramento Kings,96,Miami Heat,108,Box Score,OT,19612,
5,"Tue, Nov 1, 2016",8:00p,Memphis Grizzlies,80,Minnesota Timberwolves,116,Box Score,,14774,
6,"Tue, Nov 1, 2016",8:00p,Milwaukee Bucks,117,New Orleans Pelicans,113,Box Score,,15515,
7,"Tue, Nov 1, 2016",8:30p,Utah Jazz,106,San Antonio Spurs,91,Box Score,,18418,
8,"Tue, Nov 1, 2016",10:00p,Golden State Warriors,127,Portland Trail Blazers,104,Box Score,,19393,
9,"Wed, Nov 2, 2016",7:00p,Philadelphia 76ers,93,Charlotte Hornets,109,Box Score,,15275,
10,"Wed, Nov 2, 2016",7:00p,Toronto Raptors,113,Washington Wizards,103,Box Score,,19581,
11,"Wed, Nov 2, 2016",7:30p,Los Angeles Lakers,123,Atlanta Hawks,116,Box Score,,13800,
12,"Wed, Nov 2, 2016",7:30p,Detroit Pistons,101,Brooklyn Nets,109,Box Score,,13650,
13,"Wed, Nov 2, 2016",7:30p,Houston Rockets,118,New York Knicks,99,Box Score,,19812,
14,"Wed, Nov 2, 2016",8:00p,Chicago Bulls,100,Boston Celtics,107,Box Score,,18624,
15,"Wed, Nov 2, 2016",8:00p,New Orleans Pelicans,83,Memphis Grizzlies,89,Box Score,OT,15881,
16,"Wed, Nov 2, 2016",9:00p,Dallas Mavericks,81,Utah Jazz,97,Box Score,,19318,
17,"Wed, Nov 2, 2016",10:00p,Portland Trail Blazers,115,Phoenix Suns,118,Box Score,OT,17284,
18,"Wed, Nov 2, 2016",10:30p,Oklahoma City Thunder,85,Los Angeles Clippers,83,Box Score,,19060,
19,"Thu, Nov 3, 2016",7:00p,Sacramento Kings,94,Orlando Magic,102,Box Score,,17026,
20,"Thu, Nov 3, 2016",8:00p,Boston Celtics,122,Cleveland Cavaliers,128,Box Score,,20562,
21,"Thu, Nov 3, 2016",8:00p,Indiana Pacers,107,Milwaukee Bucks,125,Box Score,,11374,
22,"Thu, Nov 3, 2016",8:00p,Denver Nuggets,102,Minnesota Timberwolves,99,Box Score,,11219,
23,"Thu, Nov 3, 2016",10:30p,Oklahoma City Thunder,96,Golden State Warriors,122,Box Score,,19596,
24,"Fri, Nov 4, 2016",7:00p,Atlanta Hawks,92,Washington Wizards,95,Box Score,,14663,
25,"Fri, Nov 4, 2016",7:30p,Charlotte Hornets,99,Brooklyn Nets,95,Box Score,,15775,
26,"Fri, Nov 4, 2016",7:30p,Miami Heat,87,Toronto Raptors,96,Box Score,,19800,
27,"Fri, Nov 4, 2016",8:00p,New York Knicks,117,Chicago Bulls,104,Box Score,,22376,
28,"Fri, Nov 4, 2016",8:00p,Los Angeles Clippers,99,Memphis Grizzlies,88,Box Score,,17115,
29,"Fri, Nov 4, 2016",8:00p,Phoenix Suns,112,New Orleans Pelicans,111,Box Score,OT,15379,
30,"Fri, Nov 4, 2016",8:30p,Portland Trail Blazers,105,Dallas Mavericks,95,Box Score,,19475,
31,"Fri, Nov 4, 2016",9:00p,San Antonio Spurs,100,Utah Jazz,86,Box Score,,19911,
32,"Fri, Nov 4, 2016",10:30p,Golden State Warriors,97,Los Angeles Lakers,117,Box Score,,18997,
33,"Sat, Nov 5, 2016",6:00p,Minnesota Timberwolves,92,Oklahoma City Thunder,112,Box Score,,18203,
34,"Sat, Nov 5, 2016",7:00p,Denver Nuggets,86,Detroit Pistons,103,Box Score,,16218,
35,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
36,"Sat, Nov 5, 2016",7:00p,Chicago Bulls,94,Indiana Pacers,111,Box Score,,17020,
37,"Sat, Nov 5, 2016",7:00p,Washington Wizards,86,Orlando Magic,88,Box Score,,18846,
38,"Sat, Nov 5, 2016",7:00p,Cleveland Cavaliers,102,Philadelphia 76ers,101,Box Score,,20497,
39,"Sat, Nov 5, 2016",7:30p,Houston Rockets,97,Atlanta Hawks,112,Box Score,,16895,
40,"Sat, Nov 5, 2016",8:00p,Sacramento Kings,91,Milwaukee Bucks,117,Box Score,,16021,
41,"Sat, Nov 5, 2016",8:30p,Los Angeles Clippers,116,San Antonio Spurs,92,Box Score,,18418,
42,"Sun, Nov 6, 2016",12:00p,Utah Jazz,114,New York Knicks,109,Box Score,,19812,
43,"Sun, Nov 6, 2016",3:30p,Portland Trail Blazers,100,Memphis Grizzlies,94,Box Score,,16233,
44,"Sun, Nov 6, 2016",6:00p,Sacramento Kings,96,Toronto Raptors,91,Box Score,,19800,
45,"Sun, Nov 6, 2016",7:00p,Milwaukee Bucks,75,Dallas Mavericks,86,Box Score,OT,19345,
46,"Sun, Nov 6, 2016",7:30p,Denver Nuggets,123,Boston Celtics,107,Box Score,,17452,
47,"Sun, Nov 6, 2016",9:30p,Phoenix Suns,108,Los Angeles Lakers,119,Box Score,,18997,
48,"Mon, Nov 7, 2016",7:00p,Indiana Pacers,100,Charlotte Hornets,122,Box Score,,16880,
49,"Mon, Nov 7, 2016",7:00p,Utah Jazz,109,Philadelphia 76ers,84,Box Score,,14168,
50,"Mon, Nov 7, 2016",7:00p,Houston Rockets,114,Washington Wizards,106,Box Score,,13173,
51,"Mon, Nov 7, 2016",8:00p,Orlando Magic,80,Chicago Bulls,112,Box Score,,21320,
52,"Mon, Nov 7, 2016",8:00p,Miami Heat,85,Oklahoma City Thunder,97,Box Score,,18203,
53,"Mon, Nov 7, 2016",10:30p,New Orleans Pelicans,106,Golden State Warriors,116,Box Score,,19596,
54,"Mon, Nov 7, 2016",10:30p,Detroit Pistons,82,Los Angeles Clippers,114,Box Score,,19060,
55,"Tue, Nov 8, 2016",7:00p,Atlanta Hawks,110,Cleveland Cavaliers,106,Box Score,,20562,
56,"Tue, Nov 8, 2016",7:30p,Minnesota Timberwolves,110,Brooklyn Nets,119,Box Score,,13610,
57,"Tue, Nov 8, 2016",8:00p,Denver Nuggets,107,Memphis Grizzlies,108,Box Score,,15109,
58,"Tue, Nov 8, 2016",10:00p,Phoenix Suns,121,Portland Trail Blazers,124,Box Score,,19239,
59,"Tue, Nov 8, 2016",10:30p,Dallas Mavericks,109,Los Angeles Lakers,97,Box Score,,18997,
60,"Tue, Nov 8, 2016",10:30p,New Orleans Pelicans,94,Sacramento Kings,102,Box Score,,17608,
61,"Wed, Nov 9, 2016",7:00p,Utah Jazz,98,Charlotte Hornets,104,Box Score,,15712,
62,"Wed, Nov 9, 2016",7:00p,Philadelphia 76ers,115,Indiana Pacers,122,Box Score,OT,15360,
63,"Wed, Nov 9, 2016",7:00p,Brooklyn Nets,96,New York Knicks,110,Box Score,,19812,
64,"Wed, Nov 9, 2016",7:00p,Minnesota Timberwolves,123,Orlando Magic,107,Box Score,,17102,
65,"Wed, Nov 9, 2016",7:00p,Boston Celtics,93,Washington Wizards,118,Box Score,,12675,
66,"Wed, Nov 9, 2016",7:30p,Chicago Bulls,107,Atlanta Hawks,115,Box Score,,16354,
67,"Wed, Nov 9, 2016",8:00p,Toronto Raptors,112,Oklahoma City Thunder,102,Box Score,,18203,
68,"Wed, Nov 9, 2016",9:00p,Detroit Pistons,100,Phoenix Suns,107,Box Score,,16719,
69,"Wed, Nov 9, 2016",9:30p,Houston Rockets,101,San Antonio Spurs,99,Box Score,,18418,
70,"Wed, Nov 9, 2016",10:30p,Dallas Mavericks,95,Golden State Warriors,116,Box Score,,19596,
71,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
72,"Wed, Nov 9, 2016",10:30p,Portland Trail Blazers,80,Los Angeles Clippers,111,Box Score,,19060,
